Rainfall,Humidity3pm,Pressure9am,RainToday,RainTomorrow
0.6,22,1007.7,No,No
0,25,1010.6,No,No
0,30,1007.6,No,No
0,16,1017.6,No,No
1,33,1010.8,No,No
0.2,23,1009.2,No,No
0,19,1009.6,No,No
0,19,1013.4,No,No
0,9,1008.9,No,Yes
1.4,27,1007,Yes,No
0,22,1011.8,No,Yes
2.2,91,1010.5,Yes,Yes
15.6,93,994.3,Yes,Yes
3.6,43,1001.2,Yes,No
NA,28,1013.4,NA,No
0,82,1012.2,No,Yes
16.8,65,1005.8,Yes,Yes
10.6,32,1009.4,Yes,No
0,26,1019.2,No,No
0,28,1019.3,No,No
0,28,1013.6,No,No
0,24,1007.8,No,No
0,23,1011,No,No
0,17,1012.9,No,No
0,19,1010.9,No,No
0,28,1006.8,No,No
0,15,1005.2,No,No
0,22,1004.8,No,Yes
1.2,70,1005.6,Yes,No
0.8,28,1006.1,No,No
0,26,1004.5,No,No
0,22,1014.4,No,No
0,22,1018.7,No,No
0,12,1015.1,No,No
0,9,1012.6,No,No
0,8,1010.9,No,No
0,12,1007,No,No
0,15,1011.9,No,No
0,16,1017.8,No,No
0,24,1013.4,No,No
0,31,1009.9,No,No
0,16,1014.1,No,No
0,19,1015.7,No,No
0,8,1011.6,No,No
0,28,1008.4,No,No
0,20,1014.1,No,No
0,16,1019.7,No,No
0,17,1019.7,No,No
0,10,1015.8,No,No
0,21,1010.1,No,No
0.8,17,1009.6,No,No
0.6,39,1005.3,No,Yes
6.4,28,1007.9,Yes,No
0,21,1005.4,No,No
0,10,1016.5,No,No
0,12,1017.7,No,No
0,25,1017.8,No,No
0,15,1014.9,No,No
0,13,1015.7,No,No
0,11,1014.6,No,No
0,11,1014.2,No,No
0,9,1012.5,No,No
0.2,21,1011.7,No,No
0,21,1009.2,No,No
0,26,1008.8,No,No
0,15,1005.9,No,No
0,8,1008,No,No
0,11,1008.2,No,No
0,19,1007,No,No
0.4,31,1009.3,No,No
0,30,1011.6,No,No
0,24,1012.8,No,No
0,69,1017,No,Yes
3,21,1023.3,Yes,No
0,18,1022.5,No,No
0,23,1016.2,No,No
0,22,1017.7,No,No
0,17,1017.2,No,No
0,22,1012.4,No,No
0,16,1007.8,No,No
0,39,1010.1,No,No
0,19,1012.5,No,No
0,23,1015.6,No,No
0,10,1013,No,No
0,14,1014,No,No
0,16,1016.6,No,No
0,19,1017.8,No,No
0,25,1016.2,No,No
0,14,1007.5,No,No
0,27,1010.5,No,No
0,25,1014.1,No,No
0,35,1014.7,No,No
0.2,26,1014.5,No,No
0,33,1013.7,No,No
0,23,1014.5,No,No
0,22,1015.2,No,No
0,20,1017,No,No
0,28,1019.7,No,No
0,25,1019.5,No,Yes
1.2,23,1021.3,Yes,No
0,90,1019.5,No,Yes
5.8,68,1017.4,Yes,Yes
3,74,1012.7,Yes,Yes
11.6,41,1013.4,Yes,No
0,34,1013.3,No,No
0,34,1015.6,No,No
0,19,1017.4,No,No
0,15,1016.3,No,No
0,13,1016.5,No,No
0,17,1017,No,No
0,30,1014.8,No,No
0,25,1013.7,No,No
0,20,1016.5,No,No
0.4,78,1017.4,No,Yes
1.8,26,1019.1,Yes,No
0,30,1023,No,No
0,26,1023.8,No,No
0,18,1022.4,No,No
0,16,1023,No,No
0,25,1023.2,No,No
0,22,1022.6,No,No
0,30,1022.6,No,Yes
8.6,49,1018.8,Yes,Yes
12.6,33,1019.8,Yes,No
0,37,1020.4,No,No
0,20,1021.8,No,No
0,27,1026.7,No,No
0,30,1027.1,No,No
0,27,1024.2,No,No
0,42,1021.5,No,Yes
8.4,47,1024.4,Yes,Yes
6.2,52,1024.1,Yes,No
0,35,1023,No,No
0,39,1016.3,No,No
0,27,1008.2,No,No
0,30,1016.3,No,No
0,39,1018.5,No,No
0,37,1022.8,No,No
0,33,1022.7,No,No
0,29,1023.6,No,No
0,39,1025.2,No,No
0,33,1026,No,No
0,34,1021.3,No,No
0,86,1008.9,No,Yes
20,89,1004.8,Yes,Yes
21,62,1004,Yes,Yes
3.2,79,1013.8,Yes,Yes
4.8,48,1018,Yes,No
0,46,1023.1,No,No
0,38,1023.4,No,No
0,44,1026,No,No
0,49,1026.9,No,No
0,51,1028.7,No,No
0,44,1029.8,No,No
0,47,1031.4,No,No
0,49,1028.5,No,No
0,49,1026.2,No,No
0,36,1028.8,No,No
0,45,1026,No,No
0,40,1025.1,No,No
0,53,1025.6,No,No
0,49,1022.3,No,No
0,61,1018.4,No,No
0,59,1015.3,No,No
0,63,1015,No,Yes
1.8,54,1011.8,Yes,No
0,61,1022.5,No,No
0,34,1024.7,No,No
0,51,1023.6,No,No
0,57,1022.8,No,No
0,48,1025.2,No,No
0,43,1025.2,No,No
